"","Player","Squad","Nation","Starts","PCA1","PCA2","cluster"
"1","Amath","Mallorca","sn SEN",-0.939643436445402,-6.72081466164115,0.177988611522471,10
"2","Joe Aribo","Southampton","ng NGA",-0.319530333176765,-5.59021171119494,-1.21139444790681,10
"3","Erik Botheim","Salernitana","no NOR",-0.48787896624365,-7.63407161595507,0.168005075521353,10
"4","Facundo Buonanotte","Brighton","ar ARG",-0.320596594540299,-5.20670767584713,-1.65643761723838,10
"5","Mohamed Elyounoussi","Southampton","no NOR",1.03206414505568,-4.52940166001257,-0.132438470390408,10
"6","Borja García","Girona","es ESP",2.70862838414697,-4.03800174479313,-1.24962547431056,10
"7","Valère Germain","Montpellier","fr FRA",-2.79232681747815,-8.2428910627414,-0.673755193892513,10
"8","Anthony Gordon","Everton","eng ENG",-0.0703026941908689,-6.03782304191047,-0.5761638060337,10
"9","Sergi Guardiola","Valladolid","es ESP",3.59991474952154,-8.93892287696143,-5.02019699925261,10
"10","Denis Huseinbasic","Köln","de GER",-1.62570050350518,-4.90730676516536,-1.82742684204607,10
"11","Fredrik Jensen","Augsburg","fi FIN",-1.76694551529792,-5.7530428646152,-0.471641034820267,10
"12","Daniel Kyereh","Freiburg","gh GHA",1.08256521098366,-8.3872126965891,-2.06613803273248,10
"13","Sam Lammers","Empoli","nl NED",0.199671328399269,-7.38172051165201,0.352464494762731,10
"14","Jordan Larsson","Schalke 04","se SWE",-0.188113044386197,-6.39595941292413,-4.76913391795622,10
"15","Jesse Lingard","Nott'ham Forest","eng ENG",1.43556706194332,-5.80753250775826,-0.121988641190653,10
"16","Daniel Maldini","Spezia","it ITA",-3.45450852880629,-5.2961023626583,-0.735013027065057,10
"17","Sekou Mara","Southampton","fr FRA",-2.8367428694816,-7.86136947985497,-1.8873108361954,10
"18","Roger Martí","Elche","es ESP",0.854993186054023,-8.04902041113959,-1.47084721753414,10
"19","Sven Michel","Union Berlin","de GER",-5.17189193291481,-7.35184551471774,-0.33362751762009,10
"20","Nathan N'Goumou","M'Gladbach","fr FRA",-0.72433377501145,-4.99954982155454,-1.749647304112,10
"21","Randy Ntekja","Elche","fr FRA",2.00558034512989,-6.83401744418051,-2.28102381248643,10
"22","Reinier","Girona","br BRA",-2.45273698368385,-4.76387385148843,-0.551223988126928,10
"23","Amin Sarr","Lyon","se SWE",0.0877040697168713,-8.74079662595697,-2.19816922922872,10
"24","Jeffrey Schlupp","Crystal Palace","gh GHA",0.589005655722068,-4.27323128922422,-0.554111097835342,10
"25","Demba Seck","Torino","sn SEN",0.373447102712701,-4.83890887714762,-0.418984654160987,10
"26","Rubén Sobrino","Cádiz","es ESP",0.224740941457196,-5.79611255871497,0.302787086935359,10
"27","Dyego Sousa","Almería","pt POR",-3.95358982879358,-7.10527745970969,-2.15111979564561,10
"28","Kevin Spadanuda","Ajaccio","ch SUI",0.866642803360963,-4.99812043673479,-3.1326585745634,10
"29","Wout Weghorst","Manchester Utd","nl NED",1.10077127620188,-7.63890995372005,-0.414974736787474,10
