"","Player","Squad","Nation","Starts","PCA1","PCA2","cluster"
"1","Brenden Aaronson","Leeds United","us USA",0.5531407610399,-2.23447041356242,3.18653692978661,9
"2","Kevin Agudelo","Spezia","co COL",-0.192597196617417,-0.952467013473166,0.294376711153913,9
"3","Iván Alejo","Cádiz","es ESP",-0.839253449285306,-2.24508029288104,-0.730537639213725,9
"4","Mohamed Ali Cho","Real Sociedad","fr FRA",-1.87026852733165,-3.38494968635296,2.02179539694969,9
"5","Jim Allevinah","Clermont Foot","ga GAB",0.0638390934391072,-2.06756319878137,0.745085957865836,9
"6","Nadiem Amiri","Leverkusen","de GER",-1.35853491313366,-0.108381924766185,2.11069912511001,9
"7","Felipe Anderson","Lazio","br BRA",0.573739316031647,-0.633514884607269,3.3543122827462,9
"8","Jaidon Anthony","Bournemouth","eng ENG",-1.69837932102908,-1.34235700832064,0.638537553420929,9
"9","Jordan Ayew","Crystal Palace","gh GHA",0.271364684728591,-3.47694808742149,2.4294746580684,9
"10","Nedim Bajrami","Empoli","al ALB",-1.87561401798782,-3.17268252309731,2.09197599691665,9
"11","Nedim Bajrami","Sassuolo","al ALB",-1.84879518879832,-0.678308801296845,2.10263506310336,9
"12","Ander Barrenetxea","Real Sociedad","es ESP",-0.59261711315143,-1.70689282339535,0.264480473726718,9
"13","Eliesse Ben Seghir","Monaco","fr FRA",0.960936046106776,-2.87068370295723,2.35166774430927,9
"14","Mitchell van Bergen","Reims","nl NED",-3.26248827883683,-0.817128496566662,2.31038478893549,9
"15","Andreas Bruus","Troyes","dk DEN",0.00167107831220855,-2.65176593120012,0.737792608827659,9
"16","Emi Buendía","Aston Villa","ar ARG",0.103075196802778,-1.50239117953932,3.50310789428513,9
"17","Nicolò Cambiaghi","Empoli","it ITA",-1.26514650530866,-2.59766119138159,4.19551951319732,9
"18","Yoann Cathline","Lorient","fr FRA",-0.709733081158267,-2.46355689561301,1.91934542892034,9
"19","Emil Ceide","Sassuolo","no NOR",-0.992154916629025,-3.3293132497992,2.51667007282867,9
"20","Fares Chaïbi","Toulouse","dz ALG",-0.588310216892069,-2.12976418003511,4.07516110506909,9
"21","Ryan Christie","Bournemouth","sct SCO",0.694167949725744,-2.03700061574564,1.29050979368831,9
"22","Charles De Ketelaere","Milan","be BEL",-2.20457723732025,-2.31761190291382,0.638025439056216,9
"23","Mouhamadou Diarra","Strasbourg","sn SEN",0.0116992346795415,-1.65664604658821,2.98156048258874,9
"24","Stéphane Diarra","Lorient","fr FRA",1.53299376021845,-2.23260353005258,0.984990448130484,9
"25","Krépin Diatta","Monaco","sn SEN",-0.32185634734818,-3.10152450409928,4.08455549482726,9
"26","Désiré Doué","Rennes","fr FRA",-0.876582564727133,-0.367418532490597,-0.159288630079334,9
"27","Dominick Drexler","Schalke 04","de GER",0.485778002213991,-3.72309193108128,1.43379510563629,9
"28","Chidera Ejuke","Hertha BSC","ng NGA",-0.694530860592035,-1.99566862875403,4.27322623823658,9
"29","Lewis Ferguson","Bologna","sct SCO",0.452652091367589,-3.21745763154722,1.68482678453575,9
"30","Álex Fernández","Cádiz","es ESP",-0.197207963553137,-3.07567298330262,1.21447882273909,9
"31","Pablo Fornals","West Ham","es ESP",0.189114646020171,-0.0400702314065192,1.45874677367625,9
"32","Álvaro García","Rayo Vallecano","es ESP",0.584336081013749,-2.2278513116235,4.42819116103506,9
"33","Gavi","Barcelona","es ESP",0.589005655722068,-1.26188624715716,1.81239637739704,9
"34","Bryan Gil","Sevilla","es ESP",-0.118717776377974,-2.51828441632649,0.230303144289643,9
"35","Degnand Gnonto","Leeds United","it ITA",-0.5268685565185,-0.844270516725825,2.82056802368135,9
"36","Munir El Haddadi","Getafe","ma MAR",-1.73918779993691,-3.49845839236819,2.75694287782705,9
"37","Gauthier Hein","Auxerre","fr FRA",0.898846812395403,-0.669282165563514,2.64633964875367,9
"38","Luiz Henrique","Betis","br BRA",0.418264113191341,-3.01763315712441,1.58518893442998,9
"39","Yangel Herrera","Girona","ve VEN",1.03736198986553,-3.49567880419036,-0.390215426205691,9
"40","Callum Hudson-Odoi","Leverkusen","eng ENG",0.380492282176372,-1.17906048704149,0.569367213788871,9
"41","Ismail Jakobs","Monaco","sn SEN",-2.22051997944092,-0.466714272092289,0.799774479088316,9
"42","Joelinton","Newcastle Utd","br BRA",0.162012291751111,-1.40272843154426,1.15831922272056,9
"43","Anthony Jung","Werder Bremen","de GER",0.865317465650183,-1.38859143129856,-0.446311601110326,9
"44","Jakub Kamiński","Wolfsburg","pl POL",0.80630799546485,-3.04389311442795,3.50377435841299,9
"45","Neeskens Kebano","Fulham","cd COD",0.535237251521751,-2.53428442878547,0.672418047885603,9
"46","Érik Lamela","Sevilla","ar ARG",-0.153565942416811,-2.64972503156767,3.77203255497656,9
"47","Dejan Ljubicic","Köln","at AUT",0.473150812081617,-3.52264117724114,2.63586701632687,9
"48","Darwin Machís","Valladolid","ve VEN",0.465951838074597,-2.00373015255577,2.10262807607618,9
"49","Ruslan Malinovskyi","Marseille","ua UKR",-0.338678718788385,-0.574088575720818,2.41221380259323,9
"50","Faitout Maouassa","Montpellier","fr FRA",0.66824188458702,-2.06910873020332,1.7908729480193,9
"51","John McGinn","Aston Villa","sct SCO",0.0632289887869146,-1.37206195347974,0.625665686962276,9
"52","Takumi Minamino","Monaco","jp JPN",2.03363780478033,-1.43951729260233,1.2330278389418,9
"53","Fabio Miretti","Juventus","it ITA",0.214559465375609,-1.4598923431417,1.48025297337743,9
"54","Mykhailo Mudryk","Chelsea","ua UKR",-0.294772620694723,-3.07980772183178,0.580521398721102,9
"55","Riad Nouri","Ajaccio","fr FRA",-1.18244312154723,-3.12277528552142,1.26867889854044,9
"56","Brian Ocampo","Cádiz","uy URU",1.73328006648486,-1.92480357273946,1.1629952135542,9
"57","Lucas Ocampos","Sevilla","ar ARG",-1.18879876574011,-3.47749201370344,1.68599610418012,9
"58","Aimar Oroz","Osasuna","es ESP",0.27392913050729,-2.65721657944617,3.31557925700545,9
"59","Pedro","Lazio","es ESP",-1.54662413388929,-1.47709100867848,3.79433223248894,9
"60","Carles Pérez","Celta Vigo","es ESP",-0.240853771744404,-2.73741358492736,3.76137795262244,9
"61","Gaëtan Perrin","Auxerre","fr FRA",-0.199562515276121,-1.7437160602193,3.65855377233577,9
"62","Yeremi Pino","Villarreal","es ESP",1.19037985584691,-3.27567658008818,3.98623294597297,9
"63","Marko Pjaca","Empoli","hr CRO",-1.12851806199475,0.0381901174401674,-0.0098973771234836,9
"64","Gonzalo Plata","Valladolid","ec ECU",0.177179787766899,-0.768930203425678,3.08952979636884,9
"65","Daniel Podence","Wolves","pt POR",0.176094559972592,-2.45027301162304,4.3415657547877,9
"66","Jacob Ramsey","Aston Villa","eng ENG",0.520591395342605,-2.54418004921133,2.29826305572724,9
"67","Nico Ribaudo","Espanyol","es ESP",1.30241724096731,-2.0278893751948,2.06154406189661,9
"68","Marco Richter","Hertha BSC","de GER",0.282907337219605,-0.665759612578546,2.73553024627105,9
"69","Abdelhamid Sabiri","Sampdoria","ma MAR",0.12623972976386,-2.27659755864764,1.34818766571595,9
"70","Pablo Sarabia","Wolves","es ESP",0.523882405378154,-1.38472782367127,0.471215494793289,9
"71","Romano Schmid","Werder Bremen","at AUT",-0.874407134857634,-1.27688472915282,1.11773311992132,9
"72","Lassine Sinayoko","Auxerre","ml MLI",-0.636481617092309,-2.53623726497518,2.88740896396046,9
"73","Luis Sinisterra","Leeds United","co COL",2.90528307894499,-3.72458286980005,1.79944739960996,9
"74","Roberto Soriano","Bologna","it ITA",0.190224618697087,-1.66007714915589,-0.120061552649073,9
"75","Tetê","Leicester City","br BRA",0.890269566229571,-2.97622362123917,-0.0124041100845499,9
"76","Florian Thauvin","Udinese","fr FRA",-1.39862198454609,-0.926052189939854,0.252863112496475,9
"77","Adrien Thomasson","Lens","fr FRA",1.08050087267396,-2.11117558022556,2.36301324518466,9
"78","Daniele Verde","Spezia","it ITA",-0.023744302621432,-1.10771182503457,3.79436185601468,9
"79","Simone Verdi","Hellas Verona","it ITA",-0.0776757939665433,-0.860541031863279,3.776390838067,9
"80","Harry Wilson","Fulham","wls WAL",0.563314689258644,-3.35436447008266,2.46840323553793,9
"81","Filip Đuričić","Sampdoria","rs SRB",1.01937420835363,-3.44205526934783,1.4447912890472,9
