"","Player","Squad","Nation","Starts","PCA1","PCA2","cluster"
"1","Karim Adeyemi","Dortmund","de GER",2.4892375067232,-2.66128384284524,7.03776736550623,7
"2","Christopher Antwi-Adjei","Bochum","gh GHA",0.0377964021668667,-2.35768070652232,4.9864285836809,7
"3","Iago Aspas","Celta Vigo","es ESP",-0.180894049194336,-3.01576293706897,8.20705756229107,7
"4","Alex Baena","Villarreal","es ESP",-0.955385193302365,-1.24054992117588,5.06866684097964,7
"5","Jonathan Bamba","Lille","ci CIV",0.327500280123541,0.38657882671112,6.34185501511897,7
"6","Kike Barja","Osasuna","es ESP",0.27923393679036,0.0385888508652503,5.4068932620759,7
"7","Musa Barrow","Bologna","gm GAM",1.63040057549394,-0.376023009018665,6.30969349255289,7
"8","Youcef Belaïli","Ajaccio","dz ALG",1.46682832425943,-1.29805781586405,7.55615715961115,7
"9","Saïd Benrahma","West Ham","dz ALG",-0.310503959188226,-1.70301490487018,6.96808657678593,7
"10","Ludovic Blas","Nantes","fr FRA",-0.287191873087945,0.584215917180119,6.45609719584365,7
"11","Gianluca Caprari","Monza","it ITA",1.51542422618293,-1.50504462855732,5.63964823728069,7
"12","Samuel Chukwueze","Villarreal","ng NGA",0.360691080896264,-1.26540117204318,8.86728557458754,7
"13","Moussa Diaby","Leverkusen","fr FRA",0.864586688480423,-2.8836695415933,9.87585574892295,7
"14","Brahim Díaz","Milan","es ESP",2.19130469518172,-1.73110222739983,8.04779825638555,7
"15","Luis Díaz","Liverpool","co COL",-0.00742407020033187,-1.57071524451405,4.94512861831113,7
"16","Eberechi Eze","Crystal Palace","eng ENG",0.240855542320921,-0.399761689964337,6.52618616896538,7
"17","Abdessamad Ezzalzouli","Osasuna","ma MAR",1.16413265295898,-0.53898727558833,5.368869146569,7
"18","Romain Faivre","Lorient","fr FRA",0.133990160267694,-0.136644414543366,6.55693295462066,7
"19","Chris Führich","Stuttgart","de GER",0.0680251108361858,-0.259600799794555,4.73901654031948,7
"20","Morgan Gibbs-White","Nott'ham Forest","eng ENG",0.287368336461855,-1.43314560049057,6.30373154425533,7
"21","Serge Gnabry","Bayern Munich","de GER",0.206555113150824,-2.08970950057735,9.30752520421918,7
"22","Demarai Gray","Everton","jm JAM",-0.2097122177515,-2.03847176970733,4.99450584345363,7
"23","Franck Honorat","Brest","fr FRA",0.284333225196875,1.61702007675599,6.52494218456742,7
"24","Junya Ito","Reims","jp JPN",0.446532383500101,0.727030412179485,7.31553852516585,7
"25","Takefusa Kubo","Real Sociedad","jp JPN",0.616359922309847,-2.0392139551993,7.21781722473364,7
"26","Dejan Kulusevski","Tottenham","se SWE",0.0538236367205499,-0.328628208919091,5.36775905820377,7
