"","Player","Squad","Nation","Starts","PCA1","PCA2","cluster"
"1","Rayan Aït Nouri","Wolves","dz ALG",-1.98351244880689,0.244490339358386,-0.810306263071222,6
"2","Sergio Akieme","Almería","es ESP",0.516328985740619,-1.32007653939994,-0.418176792575017,6
"3","Jim Allevinah","Clermont Foot","ga GAB",0.0638390934391072,1.36394154901794,-1.05488704038728,6
"4","Luke Ayling","Leeds United","eng ENG",-0.253244591448636,-0.728122321816634,-0.368310300439782,6
"5","Thierno Balde","Troyes","fr FRA",0.41106175108005,-0.892314318817137,-0.409205126750947,6
"6","Raoul Bellanova","Inter","it ITA",-3.69123794007258,-0.400583289068094,-0.879410581789215,6
"7","Victor Bernth Kristiansen","Leicester City","dk DEN",0.942076806173482,-0.373498361362423,-1.67403252074293,6
"8","Samuele Birindelli","Monza","it ITA",-0.777382962678007,0.499692124610877,0.647643204888282,6
"9","Neto Borges","Clermont Foot","br BRA",0.438141894010764,0.549092095730586,1.09060396354103,6
"10","Domagoj Bradarić","Salernitana","hr CRO",-0.285793823634569,-1.44218604915357,0.385950939518517,6
"11","Andreas Bruus","Troyes","dk DEN",0.00167107831220855,-0.0373394358010181,-1.5632501451329,6
"12","Hugo Bueno","Wolves","es ESP",0.854993186054023,0.220298012211992,-0.0979773609812098,6
"13","Liberato Cacace","Empoli","nz NZL",-1.87026852733165,-0.277199604955872,0.702237018944153,6
"14","Pierrick Capelle","Angers","fr FRA",-0.405592857519103,-0.126207787715032,-0.410722309798297,6
"15","Zeki Çelik","Roma","tr TUR",-0.306712510402375,-0.923149398994877,0.718890206854816,6
"16","Fabien Centonze","Nantes","fr FRA",0.143800947962895,-0.81187354293535,0.621774905284041,6
"17","Patrick Ciurria","Monza","it ITA",0.152047283860714,0.673281218683381,0.978516790050574,6
"18","Danny da Costa","Mainz 05","de GER",0.20102260532107,0.912551890251857,-0.549753182520634,6
"19","Jaume Costa","Mallorca","es ESP",0.360327184050075,-0.681157498689617,-0.991313428665639,6
"20","Vladimír Coufal","West Ham","cz CZE",0.133990160267694,-0.963156616584715,0.00978142232062257,6
"21","Colin Dagba","Strasbourg","fr FRA",1.08531909862438,1.13815846834103,-0.708921882360779,6
"22","Thomas Delaine","Strasbourg","fr FRA",0.816028044604981,2.2305709847954,-0.668076825718716,6
"23","Junior Dina Ebimbe","Eint Frankfurt","fr FRA",-1.21440247010609,1.22723329625287,-1.85545749454162,6
"24","Josh Doig","Hellas Verona","sct SCO",0.0177279786108626,1.98881022403139,-1.94548871600244,6
"25","Souleyman Doumbia","Angers","ci CIV",0.499650275619194,-0.70565872704636,0.309353182875304,6
"26","Sergio Escudero","Valladolid","es ESP",0.560053784615295,-0.759549015293138,-1.20036843381461,6
"27","Alfonso Espino","Cádiz","uy URU",0.115413455764113,-0.398485153324888,-0.201688596825565,6
"28","Dimitri Foulquier","Valencia","fr FRA",-0.938606098037478,-0.448812242072508,0.466112306605331,6
"29","Iván Fresneda","Valladolid","es ESP",-0.536241990858076,-0.559704163532578,-0.251385266766086,6
"30","Antonino Gallo","Lecce","it ITA",0.153986645083295,-1.50496868000352,0.25054244683698,6
"31","Niko Gießelmann","Union Berlin","de GER",-0.222362966983802,1.44329210875734,0.959860454868198,6
"32","Robin Gosens","Inter","de GER",-1.30052680997086,1.56883462936224,0.393864024707556,6
"33","Gabriel Gudmundsson","Lille","se SWE",-0.231824610278965,1.61794598909735,-0.204979533540672,6
"34","Frederic Guilbert","Strasbourg","fr FRA",0.428877861052813,-1.21760407220005,0.184199976676171,6
"35","Christian Günter","Freiburg","de GER",0.167155121073579,0.965851085154558,1.54900637442052,6
"36","Jaouen Hadjam","Nantes","dz ALG",-0.823183193023669,0.606435789359533,0.27943162159277,6
"37","Iago","Augsburg","br BRA",0.605211490881665,-0.495188608594911,-1.75552867654088,6
"38","Ismail Jakobs","Monaco","sn SEN",-2.22051997944092,0.418542903502168,1.27063973540311,6
"39","Josan","Elche","es ESP",-1.99495532004905,1.73194099806416,0.0782051427995921,6
"40","Josip Juranović","Union Berlin","hr CRO",-0.264763272231641,1.54704354636134,-0.184444111891915,6
"41","Pavel Kadeřábek","Hoffenheim","cz CZE",-0.622377378294942,-0.109055022752151,-0.233099564939063,6
"42","Grigoris Kastanos","Salernitana","cy CYP",-0.697107908868425,1.27496579063215,-0.945331131217836,6
"43","Sael Kumbedi","Lyon","fr FRA",-0.33048374536579,0.145474727663429,0.473813235761476,6
"44","Giorgos Kyriakopoulos","Bologna","gr GRE",0.228140276274481,1.67123809578456,0.785535128016647,6
"45","Yasser Larouci","Troyes","fr FRA",0.465951838074597,0.408833398190531,0.0975250739711541,6
"46","Toni Lato","Valencia","es ESP",-0.890330139044661,-0.0518045739796275,-0.661054955382542,6
"47","Théo Le Bris","Lorient","fr FRA",-0.53361975323498,0.806386346547502,-1.42221886273095,6
"48","Marcos Llorente","Atlético Madrid","es ESP",0.941591390230787,1.69016927389533,0.283514687283315,6
"49","Deiver Machado","Lens","co COL",0.62715743458896,0.861610418027297,-1.36701736385104,6
"50","Pablo Maffeo","Mallorca","es ESP",0.276022335272218,0.500633840080847,-1.42551823678752,6
"51","Antoine Mendy","Nice","fr FRA",1.81342466201039,-0.998790013614429,-1.27486744637545,6
"52","Junior Messias","Milan","br BRA",1.20144381197615,2.11669318612514,-1.79681341404788,6
"53","Juan Miranda","Betis","es ESP",-0.136179737838739,-0.358474011516396,0.736852549464233,6
"54","Maximilian Mittelstädt","Hertha BSC","de GER",-2.0714957138701,1.15751505075224,-1.36016212047482,6
"55","Johan Mojica","Villarreal","co COL",-2.40835627445764,-0.722995557179845,-0.188383800985165,6
"56","Gonzalo Montiel","Sevilla","ar ARG",0.0741887742476346,-0.463276175348529,0.712094404184225,6
"57","Alberto Moreno","Villarreal","es ESP",-0.185655295310905,-0.560593129215288,0.50528860973209,6
"58","Álex Moreno","Betis","es ESP",0.0419322690610573,0.366363134902973,-0.520027669370777,6
"59","Tete Morente","Elche","es ESP",0.0498560140488623,2.04674078279074,-1.84054146892629,6
"60","Nordi Mukiele","Paris S-G","fr FRA",-0.368806237615519,-1.04010241369136,0.447190340030435,6
"61","Aihen Muñoz","Real Sociedad","es ESP",0.247227657423922,-1.02709382509866,0.454484480684105,6
"62","Brian Oliván","Espanyol","es ESP",0.747709434978604,-0.105931556326147,-0.258193506363205,6
"63","Paulo Otávio","Wolfsburg","br BRA",0.880917489215219,-0.388046831261667,1.10799516865432,6
"64","Thomas Ouwejan","Schalke 04","nl NED",0.0147124939202253,0.848537629000729,0.661456117002071,6
"65","Emerson Palmieri","West Ham","it ITA",0.786764297914752,-0.801110693935903,-0.302371802348047,6
"66","Rubén Peña","Osasuna","es ESP",-0.067138670168106,0.311982031551337,-1.37682350233245,6
"67","Ricardo Pereira","Leicester City","pt POR",-0.0302540949688159,-0.496926353853933,-1.39780184099055,6
"68","Luis Pérez","Valladolid","es ESP",0.967292423622079,0.0840468804395033,-1.66173942034008,6
"69","Romain Perraud","Southampton","fr FRA",0.689347574794923,1.10012609809092,-1.03485254225706,6
"70","Giuseppe Pezzella","Lecce","it ITA",-0.118717776377974,-1.24694865993416,0.177647608020242,6
"71","Marvin Plattenhardt","Hertha BSC","de GER",0.751414234930023,-1.29662526877514,0.0521497865173432,6
"72","Portu","Getafe","es ESP",-1.06900363838174,2.34088525830638,-1.43208093088475,6
"73","Arkadiusz Reca","Spezia","pl POL",-0.00708336836465767,0.0856597124608422,1.25583425503709,6
"74","Jérôme Roussillon","Union Berlin","fr FRA",0.324454762764184,0.967545315388977,-1.96172888883075,6
"75","Aitor Ruibal","Betis","es ESP",-0.544097882939374,0.373476751886509,0.453807871478953,6
"76","Julian Ryerson","Union Berlin","no NOR",0.381667611055078,0.948757295633556,-2.12252683487374,6
"77","Youssouf Sabaly","Betis","sn SEN",0.188238560443033,-1.37876707619807,-0.171998069336527,6
"78","Junior Sambia","Salernitana","fr FRA",-0.745644782969321,1.44977917626056,-0.39094781632125,6
"79","Manu Sánchez","Osasuna","es ESP",-0.513535684660342,0.484728880233768,0.767117047565369,6
"80","Kingsley Schindler","Köln","gh GHA",-2.72928101476225,0.720129906049821,-1.47907207405302,6
"81","Leonardo Sernicola","Cremonese","it ITA",0.441511989330864,0.470125993801699,-1.6192372043551,6
"82","Ryan Sessegnon","Tottenham","eng ENG",0.0116992346795415,1.58544263932152,-2.22295369450529,6
"83","Wilfried Singo","Torino","ci CIV",0.498442222229451,-0.686737585088489,0.831222679965474,6
"84","Damián Suárez","Getafe","uy URU",1.70077194688835,-0.227100223085497,-0.85057805052946,6
"85","Alex Telles","Sevilla","br BRA",-0.40016494778483,-0.693687962734782,-0.515023373892003,6
"86","Kyle Walker-Peters","Southampton","eng ENG",0.196520048634466,0.304424059400179,0.288077473900916,6
"87","Silvan Widmer","Mainz 05","ch SUI",0.148715059927523,-0.598737812881603,-0.855127735034844,6
"88","Neco Williams","Nott'ham Forest","wls WAL",-0.315048862727483,0.752462444633269,-1.84973602692585,6
"89","Alessandro Zanoli","Sampdoria","it ITA",-0.490090608691582,-1.01050108805338,-1.4449494748636,6
"90","Nadir Zortea","Sassuolo","it ITA",-0.294772620694723,-0.607261546402149,0.0390384885660139,6
