"","Player","Squad","Nation","Starts","PCA1","PCA2","cluster"
"1","Nayef Aguerd","West Ham","ma MAR",-0.291957950769908,-8.00998075575023,-2.95862361504768,7
"2","Emanuel Aiwum","Cremonese","at AUT",-0.567721533140425,-5.41411420310736,-2.68370222122727,7
"3","Kristoffer Ajer","Brentford","no NOR",0.546621861351176,-4.87421161621858,-4.12719147035953,7
"4","Kevin Akpoguma","Hoffenheim","ng NGA",-0.210164725320193,-5.63820205332106,-1.85971893607155,7
"5","Omar Alderete","Getafe","py PAR",0.133990160267694,-5.42731684776009,-2.60689755699396,7
"6","Bruno Amione","Sampdoria","ar ARG",0.68607271970922,-5.91671426435885,-2.81678666279115,7
"7","Cédric Avinel","Ajaccio","gp GLP",-0.341693591953889,-8.06263505670114,-4.36497814898442,7
"8","Kaan Ayhan","Sassuolo","tr TUR",-1.38623189635566,-8.83132805695002,-2.8290078595765,7
"9","Iddrisu Baba","Mallorca","gh GHA",0.498442222229451,-4.42407707027877,-4.76420708995337,7
"10","Srđan Babić","Almería","rs SRB",-0.0345881661914234,-7.63686219048002,-2.02237688715383,7
"11","Benoît Badiashile","Monaco","fr FRA",-0.241263699001313,-8.33544394124427,-2.46121713226827,7
"12","Eric Bailly","Marseille","ci CIV",-1.36131481292298,-7.96079338026779,-5.21494923180907,7
"13","Federico Baschirotto","Lecce","it ITA",0.0419322690610573,-7.3863713320706,-2.54019490086133,7
"14","Maximilian Bauer","Augsburg","de GER",-0.162230789768829,-6.29261088137386,-4.04079572248086,7
"15","Timo Baumgartl","Union Berlin","de GER",-0.278796113470249,-5.53448499438463,-2.62981193718963,7
"16","Stefan Bell","Mainz 05","de GER",-0.14621945430282,-7.30964567579908,-1.90659195641662,7
"17","Armel Bella Kotchap","Southampton","de GER",1.26719879443986,-6.98277914739754,-1.97127006938345,7
"18","Jeanöel Belocian","Rennes","fr FRA",0.5924602903877,-5.75174305720333,-2.77376298727786,7
"19","Matteo Bianchetti","Cremonese","it ITA",-0.542194913041841,-7.21308302317787,-3.51947301299225,7
"20","Willy Boly","Nott'ham Forest","ci CIV",1.53703305690607,-6.11734636301785,-6.75486509793905,7
"21","Juan Brandáriz","Almería","es ESP",-0.722908679305162,-5.67746549596209,-2.07706716008634,7
"22","Mattia Caldara","Spezia","it ITA",-0.500790510143591,-7.72648122328552,-3.83084353092795,7
"23","Fernando Calero","Espanyol","es ESP",1.00314008283315,-5.28324683450357,-2.6278346905341,7
"24","Federico Ceccherini","Hellas Verona","it ITA",1.21568662363431,-4.6262428811439,-3.80424490380058,7
"25","Vlad Chiricheș","Cremonese","ro ROU",2.35068424456178,-7.99938984794112,-5.49338589011995,7
"26","Víctor Chust","Cádiz","es ESP",-0.509938094286499,-7.61660578564456,-5.12977697762057,7
"27","Omar Colley","Sampdoria","gm GAM",-0.159344594227442,-8.19280870579536,-3.07642785598528,7
"28","Steve Cook","Nott'ham Forest","eng ENG",0.324454762764184,-8.73851790731521,-4.27198462269339,7
"29","Liam Cooper","Leeds United","sct SCO",0.122369949596449,-7.05342716649945,-2.10641980246869,7
"30","Copete","Mallorca","es ESP",0.873875206094378,-6.17452500126985,-4.00277222885158,7
"31","Diego Coppola","Hellas Verona","it ITA",-1.25978351968325,-5.99392001888291,-4.04630847427635,7
"32","Flavius Daniliuc","Salernitana","at AUT",-0.424648159036359,-6.79773904383435,-1.72965575053873,7
"33","Márton Dárdai","Hertha BSC","de GER",0.413955024760949,-6.14470206977731,-5.69061513964915,7
"34","Achraf Dari","Brest","ma MAR",0.247227657423922,-8.7115173117317,-2.50846374836796,7
"35","Paweł Dawidowicz","Hellas Verona","pl POL",0.885345007615977,-5.42823077141886,-2.66210726429898,7
"36","Craig Dawson","West Ham","eng ENG",0.0419322690610573,-6.39544729712711,-5.3518814790007,7
"37","Koni De Winter","Empoli","be BEL",0.489995286418358,-8.39078472285103,-3.48958580122749,7
"38","Merih Demiral","Atalanta","tr TUR",-1.43027478797007,-6.36093047660052,-4.74847632006395,7
"39","Sepp van den Berg","Schalke 04","nl NED",0.324454762764184,-7.93551553618341,-4.9714382996784,7
"40","Djené","Getafe","tg TOG",0.416970931476827,-4.70950334266739,-2.71416669832223,7
"41","Danilho Doekhi","Union Berlin","nl NED",0.167639479706943,-5.59560200608661,-3.12893350819595,7
"42","John Donald","Elche","es ESP",0.62715743458896,-5.57856518268998,-5.28000047922705,7
"43","Domingos Duarte","Getafe","pt POR",0.174527507919845,-7.09371584127501,-4.35580495588346,7
"44","Maxime Estève","Montpellier","fr FRA",-0.0874856897798642,-7.8491345938617,-3.25442434951538,7
"45","Fali","Cádiz","es ESP",1.31344832298516,-6.44187204269071,-4.37457291410555,7
"46","Federico Fazio","Salernitana","ar ARG",0.0877040697168713,-6.93645731098462,-3.37791544205816,7
"47","Felipe","Nott'ham Forest","br BRA",-0.350969252506336,-5.36407964299487,-4.81921946198035,7
"48","Luiz Felipe","Betis","it ITA",1.05039174318118,-8.03322830606437,-2.93239133515734,7
"49","Ohis Felix Uduokhai","Augsburg","de GER",-0.0145722296795689,-6.70676298812742,-2.79985381570626,7
"50","Joaquín Fernández","Valladolid","es ESP",0.057132922711132,-7.78267745862613,-2.84313070704685,7
"51","Alex Ferrari","Sampdoria","it ITA",0.34398396739804,-7.45724875989238,-3.35537159549402,7
"52","Alex Ferrari","Cremonese","it ITA",1.3681326938224,-5.01294250212665,-4.5252810575274,7
"53","Matteo Gabbia","Milan","it ITA",-0.933761236925105,-8.71896601400612,-3.94542166277351,7
"54","Unai García","Osasuna","es ESP",0.458046835093156,-7.83983179010295,-2.69420936292511,7
"55","Toti Gomes","Wolves","pt POR",-0.657483172667413,-5.66687551822906,-2.47868229201422,7
"56","Diego González","Elche","es ESP",-1.99352728369361,-7.64431204876306,-5.93152657196149,7
"57","Édgar González","Betis","es ESP",-0.660866349586448,-7.83724262504444,-2.82145229964836,7
"58","Oumar Gonzalez","Ajaccio","cm CMR",0.143631599610514,-6.6278517896247,-3.22062369716708,7
"59","José Gragera","Espanyol","es ESP",-0.136179737838739,-5.38943997131632,-8.51298917132192,7
"60","Andrew Gravillon","Reims","gp GLP",0.373447102712701,-4.66251173628668,-3.31384884274985,7
"61","Manuel Gulde","Freiburg","de GER",1.02307181562261,-7.40645196294351,-2.96918379533623,7
"62","Koray Günter","Hellas Verona","de GER",-0.0642601338562691,-6.77157477766316,-4.76828064955831,7
"63","Koray Günter","Sampdoria","de GER",-0.549326145595999,-8.1458682964284,-3.60411394677581,7
"64","Norbert Gyömbér","Salernitana","sk SVK",1.59580598442825,-7.23058424442318,-4.05981061964923,7
"65","Alexander Hack","Mainz 05","de GER",0.968366453359646,-7.22270960298478,-2.92806939515756,7
"66","Dennis Hadzikadunic","Mallorca","ba BIH",0.25543460957938,-6.2386938739026,-7.86479424805047,7
"67","Andreas Hanche-Olsen","Mainz 05","no NOR",0.222542841187906,-6.34699288496268,-3.13592909384818,7
"68","Dominique Heintz","Bochum","de GER",-0.731006628805986,-5.32963515579087,-5.3767299321586,7
"69","Christophe Hérelle","Brest","mq MTQ",0.196520048634466,-7.58660700141482,-4.66477594896671,7
"70","Isak Hien","Hellas Verona","se SWE",-0.231487083302957,-5.82660937669609,-4.21261767459086,7
"71","Mason Holgate","Everton","eng ENG",-0.879191364255051,-4.25192066499508,-6.42719814432286,7
"72","Martin Hongla","Valladolid","cm CMR",0.317964965818475,-7.19699040488521,-2.66947122066587,7
"73","Ardian Ismajli","Empoli","al ALB",-0.404113272573391,-8.45936682023092,-2.8021162066041,7
"74","Paul Jaeckel","Union Berlin","de GER",-0.136179737838739,-6.54581577816185,-3.17402442657887,7
"75","Pontus Jansson","Brentford","se SWE",1.01515201946934,-8.00106259265678,-6.29637899994368,7
"76","Julian Jeanvier","Auxerre","gn GUI",0.228140276274481,-7.82537311791234,-3.53112540469223,7
"77","Moritz Jenz","Schalke 04","de GER",0.432082379412993,-8.22017554993112,-3.40750732469927,7
"78","Jubal","Auxerre","br BRA",-0.128705345258237,-7.65155609503084,-2.52341213691,7
"79","Christopher Jullien","Montpellier","fr FRA",0.057132922711132,-6.65103347438233,-3.2965578083954,7
"80","Mathias Jørgensen","Brentford","dk DEN",-0.797438729910061,-6.0789918785749,-4.21261486659114,7
"81","Kaiky","Almería","br BRA",0.732921018720511,-8.14961105598673,-6.91353621333888,7
"82","Marcin Kamiński","Schalke 04","pl POL",0.0160045718541247,-7.78366257700017,-5.13950732093361,7
"83","Michael Keane","Everton","eng ENG",-0.665091027363517,-6.39832913837384,-4.36446782018592,7
"84","Thilo Kehrer","West Ham","de GER",0.115413455764113,-5.26033132101558,-1.63492410020036,7
"85","Check Keita","Reims","fr FRA",0.498442222229451,-6.75530681789727,-4.22503895132334,7
"86","Marc-Oliver Kempf","Hertha BSC","de GER",0.286910245328552,-7.76557841058497,-2.25928699353511,7
"87","Youssouf Koné","Ajaccio","ml MLI",1.50882853549344,-3.70652894442841,-4.00519898224108,7
"88","Boubakar Kouyaté","Montpellier","ml MLI",0.6551140507766,-7.62140717286231,-3.51304972988072,7
"89","Vassilis Lambropoulos","Bochum","gr GRE",0.0811339547901984,-6.73804686210909,-6.76424247377543,7
"90","Maxim Leitsch","Mainz 05","de GER",-0.365871692438024,-7.00827097965096,-4.95596396941375,7
"91","Diego Llorente","Roma","es ESP",-1.71680723362489,-7.04612130994552,-4.63943998007669,7
"92","Luka Lochoshvili","Cremonese","ge GEO",0.670118498942559,-5.7300901176618,-3.39694236099829,7
"93","Matteo Lovato","Salernitana","it ITA",-0.90420571353688,-6.94435814108835,-5.77389926914359,7
"94","Lyanco","Southampton","br BRA",-1.27730412102727,-6.59227042101074,-3.8345012998579,7
"95","Lisandro Magallán","Elche","ar ARG",0.841264202465023,-6.78915471182385,-5.13678717551024,7
"96","Giangiacomo Magnani","Hellas Verona","it ITA",0.993878164945871,-5.7708347792493,-5.9165925206302,7
"97","Adam Masina","Udinese","ma MAR",-0.674579150330521,-7.10261396821901,-3.88783419530162,7
"98","Erhan Mašović","Bochum","rs SRB",-0.364339746677322,-5.25345945965901,-4.55046836871283,7
"99","Henning Matriciani","Schalke 04","de GER",0.556478066771581,-3.94477075344655,-2.6605296037012,7
"100","Fernand Mayembo","Ajaccio","cg CGO",0.192584291870221,-6.85958281260699,-5.04009676491467,7
"101","Mamadou Mbaye","Cádiz","sn SEN",-1.35952799575576,-7.0961396844731,-6.50236608378709,7
"102","Scott McKenna","Nott'ham Forest","sct SCO",0.766851538390973,-7.82598202913852,-3.2179066347745,7
"103","Chris Mepham","Bournemouth","wls WAL",-0.103376025790346,-8.41676980699053,-3.33296226095172,7
"104","Jorge Meré","Cádiz","es ESP",-0.789652242354632,-6.99991102841771,-7.27593155187731,7
"105","Yerry Mina","Everton","co COL",0.53848695496352,-6.06579538070285,-4.73923165667318,7
"106","Stefan Mitrović","Getafe","rs SRB",-0.250680313702894,-7.34264517694103,-6.02045146249327,7
"107","César Montes","Espanyol","mx MEX",0.196520048634466,-7.69570063592037,-2.65850723598126,7
"108","Abdul Mumin","Rayo Vallecano","gh GHA",-0.953331353008088,-6.79702408004764,-4.47870594281761,7
"109","Jeison Murillo","Sampdoria","co COL",0.220212783062935,-7.59396165132937,-3.18998576043633,7
"110","Nicola Murru","Sampdoria","it ITA",-3.44851782533751,-4.23627799141201,-5.7164480694118,7
"111","Matija Nastasić","Mallorca","rs SRB",-0.0123270178090788,-6.28812800764955,-6.490817376222,7
"112","Moussa Niakhate","Nott'ham Forest","sn SEN",0.725282032420379,-4.9924111503913,-6.53634178188111,7
"113","Bram Nuytinck","Sampdoria","nl NED",1.20144381197615,-7.25844354472242,-4.60966497155952,7
"114","Angelo Ogbonna","West Ham","it ITA",-0.401835883942316,-7.30423718245267,-5.93387406363099,7
"115","Caleb Okoli","Atalanta","it ITA",-1.23824778053123,-6.18334766199843,-4.77804386416172,7
"116","Ivan Ordets","Bochum","ua UKR",0.279463430569729,-6.86284663506367,-4.29682181231266,7
"117","Helibelton Palacios","Elche","co COL",0.705085589789805,-4.00877632152106,-2.96645132679169,7
"118","Lucas Perrin","Strasbourg","fr FRA",-0.631159564378968,-5.40786835044295,-1.7247484535911,7
"119","Ethan Pinnock","Brentford","jm JAM",0.0419322690610573,-7.06110992490274,-3.49787162683114,7
"120","Lorenzo Pirola","Salernitana","it ITA",0.586453984127206,-7.40639978035642,-2.93778383076901,7
"121","Marin Pongračić","Lecce","hr CRO",0.249353846716516,-7.65523060384427,-4.32956683770393,7
"122","Jackson Porozo","Troyes","ec ECU",-0.39888668679113,-5.72901317597104,-4.62340216399931,7
"123","Ivan Radovanović","Salernitana","rs SRB",-0.458692537217655,-5.82255401017572,-5.88422388519741,7
"124","Antonio Raillo","Mallorca","es ESP",0.113022527780283,-7.32695325514458,-3.57310143716939,7
"125","Adil Rami","Troyes","fr FRA",0.165137567066931,-7.74240858212345,-2.63876596322345,7
"126","Luca Ranieri","Fiorentina","it ITA",-0.893506381349686,-8.35836882087621,-2.71623192699213,7
"127","Enzo Roco","Elche","cl CHI",0.329585316523925,-7.31123213125908,-4.13414573328868,7
"128","Agustín Rogel","Hertha BSC","uy URU",-0.911828800144306,-7.19839541788613,-4.82891731950471,7
"129","Ruan","Sassuolo","br BRA",0.899076783855285,-8.84788351707936,-3.04142975726472,7
"130","Daniele Rugani","Juventus","it ITA",-0.306712510402375,-8.75455389271663,-6.37771926777941,7
"131","Víctor Ruiz","Betis","es ESP",-1.56743693614068,-8.26859729654959,-5.57947325655995,7
"132","Mamadou Sakho","Montpellier","fr FRA",-1.38623189635566,-9.22342733579195,-2.87898614727034,7
"133","Keven Schlotterbeck","Bochum","de GER",-0.114340390943669,-5.85742449190864,-7.00530826740868,7
"134","Chris Smalling","Roma","eng ENG",-0.010587938101704,-8.10408595096554,-2.34741592388746,7
"135","Nikola Soldo","Köln","hr CRO",-0.690339354584313,-7.60993802720374,-3.31407999335102,7
"136","Joaquin Sosa","Bologna","uy URU",-0.648769525137572,-8.03125045314427,-3.37602791910711,7
"137","Çağlar Söyüncü","Leicester City","tr TUR",0.212300275660863,-8.79384476966198,-5.02568663854164,7
"138","Jack Stephens","Bournemouth","eng ENG",0.0209779153081397,-7.58622964061,-3.86041805500277,7
"139","Souleymane Touré","Auxerre","fr FRA",0.207033575204949,-6.82142316297977,-2.46981004015413,7
"140","Charles Traore","Nantes","ml MLI",1.02783026575952,-4.77195375030645,-4.16152021058506,7
"141","Alessandro Tuia","Lecce","it ITA",0.540925828666381,-6.72282296924189,-6.79902835073761,7
