"","Player","Squad","Nation","Starts","PCA1","PCA2","cluster"
"1","Yunis Abdelhamid","Reims","ma MAR",0.0419322690610573,-7.09439680487301,2.26881737793353,1
"2","Francesco Acerbi","Inter","it ITA",-0.549326145595999,-7.763123237326,2.21796427714703,1
"3","Tosin Adarabioyo","Fulham","eng ENG",-0.0170112727906736,-9.27174943291181,0.625278308766634,1
"4","Emmanuel Agbadou","Reims","ci CIV",0.186032937959889,-7.45616095547354,2.05879064225145,1
"5","Joseph Aidoo","Celta Vigo","gh GHA",0.123364690298348,-8.70644902722321,-0.309437433763049,1
"6","Yeray Álvarez","Athletic Club","es ESP",0.386241414474559,-8.00160892967965,1.47686009658708,1
"7","Daniel Amartey","Leicester City","gh GHA",0.0928214138895716,-9.00219276920792,1.40930883632272,1
"8","Ethan Ampadu","Spezia","wls WAL",0.510733330040969,-6.5433832619763,0.480975543266485,1
"9","Loïc Bade","Sevilla","fr FRA",-0.00895687576745616,-8.21052657010655,-1.72714481715731,1
"10","Leonardo Balerdi","Marseille","ar ARG",0.231315479125791,-8.61000837960093,0.805135915918185,1
"11","Abdoulaye Bamba","Angers","ci CIV",-1.66397334541031,-5.82876432690279,-1.24382512272971,1
"12","Rodrigo Becão","Udinese","br BRA",0.160673606994256,-5.58144626600603,-0.735734168703986,1
"13","Jan Bednarek","Southampton","pl POL",0.669159240727326,-9.06997109756777,-2.40669540443782,1
"14","Pedro Bigas","Elche","es ESP",0.974815948763953,-7.43262838066394,-1.14059074906054,1
"15","Jaka Bijol","Udinese","si SVN",0.498442222229451,-8.13001242752079,-1.36026418258556,1
"16","Miha Blažič","Angers","si SVN",0.0460723157095612,-9.91789711079921,-0.0609748677982076,1
"17","Leonardo Bonucci","Juventus","it ITA",-0.601216206365513,-9.57340242117363,-0.724892608597746,1
"18","Sebastiaan Bornauw","Wolfsburg","be BEL",0.645369836005804,-8.86739370967062,-0.0379106895817618,1
"19","Sven Botman","Newcastle Utd","nl NED",0.102195301776115,-8.67826533627577,0.00187053091733422,1
"20","Lilian Brassier","Brest","fr FRA",0.192921497024609,-6.88854458144105,0.237510837237273,1
"21","Gleison Bremer","Juventus","br BRA",0.247227657423922,-8.42145250224235,0.471916417733864,1
"22","Dylan Bronn","Salernitana","tn TUN",0.173373215329357,-7.47246568443236,-0.459973664027051,1
"23","John Brooks","Hoffenheim","us USA",0.0419322690610573,-9.53552380548724,-2.01539971926595,1
"24","Santiago Bueno","Girona","uy URU",0.178031144765221,-8.10673978449346,1.28265870315078,1
"25","Alessandro Buongiorno","Torino","it ITA",-0.0213004390114181,-6.5881322594202,-0.458558985079077,1
"26","Leandro Cabrera","Espanyol","uy URU",0.413371546095253,-6.49920210757524,-1.51329079765917,1
"27","Luca Caldirola","Monza","it ITA",0.310046475792498,-8.15836697917144,0.20229691274382,1
"28","Duje Ćaleta-Car","Southampton","hr CRO",-1.13594163703316,-9.68954223099168,-2.28644176427824,1
"29","Ousmane Camara","Angers","fr FRA",0.340722852612733,-9.09189688027355,-1.24469251428634,1
"30","Nicolò Casale","Lazio","it ITA",0.0183983887895204,-8.80488337695075,1.69731049988169,1
"31","Jean-Charles Castelletto","Nantes","cm CMR",0.463075612478333,-7.26190031677856,-0.571749073287532,1
"32","Catena","Rayo Vallecano","es ESP",0.166030934519439,-9.92105034998747,0.973745296068212,1
"33","Maximiliano Caufriez","Clermont Foot","be BEL",0.14517631266454,-6.96296407383683,-0.924943585902725,1
"34","Julian Chabot","Köln","de GER",0.43727572530786,-8.61342650779471,-0.199403315669543,1
"35","El Chadaille Bitshiabu","Paris S-G","fr FRA",-0.562365414725903,-10.0288645011165,1.4408962818596,1
"36","Trevoh Chalobah","Chelsea","eng ENG",0.103075196802778,-7.40269797697078,1.88796656681328,1
"37","Brendan Chardonnet","Brest","fr FRA",-0.158702934215069,-8.39398338277417,-0.665501781334579,1
"38","Conor Coady","Everton","eng ENG",-0.0597003455630643,-9.24394233095573,-0.209955650188268,1
"39","Alexandre Coeff","Auxerre","fr FRA",-0.601216206365513,-8.14122305209192,-1.82239828642833,1
"40","Nathan Collins","Wolves","ie IRL",-0.427796419477326,-9.56711249489078,-0.254521479880366,1
"41","Eray Cömert","Valencia","ch SUI",0.228140276274481,-8.61823687368995,-1.04738003625318,1
"42","Jorge Cuenca","Villarreal","es ESP",-0.864819766065181,-10.8802798912316,0.230895824739068,1
"43","Danilo","Juventus","br BRA",-0.0455574227703749,-6.2968210597093,3.11498436907029,1
"44","Craig Dawson","Wolves","eng ENG",0.714072063132708,-10.6473935430295,-0.360340136997258,1
