"","Player","Squad","Nation","Starts","PCA1","PCA2","cluster"
"1","Marcos Acuña","Sevilla","ar ARG",-0.0523404040469949,0.783144375227828,4.19554725266325,2
"2","Jordi Alba","Barcelona","es ESP",-0.876116510688846,0.486313392530931,11.2585106262392,2
"3","Trent Alexander-Arnold","Liverpool","eng ENG",0.425942487152922,0.212660052665988,12.6980322664663,2
"4","Alejandro Balde","Barcelona","es ESP",0.801232908754483,1.1185618655315,4.90332423741102,2
"5","Cristiano Biraghi","Fiorentina","it ITA",0.520481738010961,1.76806195401789,7.75200291582802,2
"6","Eduardo Camavinga","Real Madrid","fr FRA",-0.447211152872712,-0.423883866036924,5.588833589557,2
"7","João Cancelo","Manchester City","pt POR",1.10948586771635,-0.0971077639835101,8.9500752847666,2
"8","João Cancelo","Bayern Munich","pt POR",-0.136179737838739,2.957310128365,7.95151241445407,2
"9","Antonio Candreva","Salernitana","it ITA",0.504788269383199,1.22666718752393,4.22678842589357,2
"10","Ben Chilwell","Chelsea","eng ENG",-0.295569744013274,1.39869411728582,3.70777245412255,2
"11","Alphonso Davies","Bayern Munich","ca CAN",0.515385733043474,2.19360739542859,7.88398070961333,2
"12","Giovanni Di Lorenzo","Napoli","it ITA",-0.000832112085900275,-2.03330191495139,7.57712980316421,2
"13","Federico Dimarco","Inter","it ITA",1.11508078429202,2.86395564428811,4.90509861443469,2
"14","Pervis Estupiñán","Brighton","ec ECU",0.394161247191871,0.471824507894954,5.23084824906196,2
"15","Przemysław Frankowski","Lens","pl POL",-0.0824254964341062,2.73135765059644,5.14792679288219,2
"16","Javi Galán","Celta Vigo","es ESP",0.249353846716516,1.66318619270112,4.38139330946482,2
"17","Pascal Groß","Brighton","de GER",0.272119629629921,1.8253563106921,7.35508219000863,2
"18","Raphaël Guerreiro","Dortmund","pt POR",0.220822057650374,2.99762040450865,8.81585710661198,2
"19","Malo Gusto","Lyon","fr FRA",0.63266111953123,0.639244639360738,8.50177944991804,2
"20","Achraf Hakimi","Paris S-G","ma MAR",0.109776199599606,3.01556913059499,5.9682157699711,2
"21","Reece James","Chelsea","eng ENG",0.147310433914957,0.776815243721915,6.95298900877766,2
"22","Valentino Lazaro","Torino","at AUT",-0.0953164587612192,0.887573503649178,3.80568032217299,2
"23","José Luis Gayà","Valencia","es ESP",0.286910245328552,1.23279221445317,3.81669919308505,2
"24","Noussair Mazraoui","Bayern Munich","ma MAR",-0.605898379290762,0.699440394062895,5.25994281850957,2
"25","James Milner","Liverpool","eng ENG",-2.49767573293407,0.923607036458066,4.90546954926386,2
"26","Joakim Mæhle","Atalanta","dk DEN",0.194000736699361,1.85992212030427,4.12383723417362,2
"27","Mathías Olivera","Napoli","uy URU",-0.521565120996851,-1.19007338707768,5.67379605001868,2
"28","David Raum","RB Leipzig","de GER",0.163492392464479,1.75174056071559,4.52116078317531,2
"29","Andrew Robertson","Liverpool","sct SCO",0.127574976211483,-0.038191568544259,9.22302008306925,2
"30","Mário Rui","Napoli","pt POR",0.702443690874711,-0.284906625888662,11.8608424286003,2
"31","Caio Henrique Oliveira Silva","Monaco","br BRA",-0.00333376584165428,-0.275286706763217,5.47400467837815,2
"32","Borna Sosa","Stuttgart","hr CRO",0.146704037825644,3.68394953135859,8.18097403889255,2
"33","Leonardo Spinazzola","Roma","it ITA",-0.126488032505618,1.04492787320977,3.70068697699454,2
"34","Aleksa Terzić","Fiorentina","rs SRB",-1.84205462745123,2.80103856209604,6.4342093473343,2
"35","Kieran Trippier","Newcastle Utd","eng ENG",0.235664395093341,1.70812583542305,9.91337501403123,2
"36","Kostas Tsimikas","Liverpool","gr GRE",0.456371880446577,2.17379407682314,5.42806132528736,2
"37","Lucas Vázquez","Real Madrid","es ESP",-0.416425902541217,1.7060510515064,5.29080776013355,2
"38","Marius Wolf","Dortmund","de GER",-0.166810465139979,1.76998578912934,4.06521786261087,2
"39","Oleksandr Zinchenko","Arsenal","ua UKR",0.90070460827764,-3.74954941664996,8.16792545076004,2
