"","Player","Squad","Nation","Starts","PCA1","PCA2","cluster"
"1","Mickaël Alphonse","Ajaccio","gp GLP",-0.566082708203053,-2.66460613924418,-1.85632547588748,10
"2","Kelvin Amian","Spezia","fr FRA",-0.068599296772206,-1.87139925809711,-1.43187585700501,10
"3","Dennis Appiah","Nantes","fr FRA",0.196520048634466,-2.43751122522513,-1.2085830033271,10
"4","Serge Aurier","Nott'ham Forest","ci CIV",0.19795215364338,-2.39424558216711,-2.21325888812138,10
"5","Alexis Beka Beka","Nice","fr FRA",1.31976336443391,-1.26489503219531,-1.89644440120456,10
"6","Bartosz Bereszyński","Sampdoria","pl POL",1.08146411567489,-2.71521262510089,-2.13579010122309,10
"7","Cédric Brunner","Schalke 04","ch SUI",0.767459796087011,-3.01805227032075,-1.33581873972228,10
"8","Dan Burn","Newcastle Utd","eng ENG",0.144642953849946,-4.38554601776334,-0.315117815805643,10
"9","Maxime Busi","Reims","be BEL",-0.374402412455438,-2.25034852009874,0.380968616343019,10
"10","Isaac Carcelen","Cádiz","es ESP",0.231950808482122,-1.87301866149519,-2.22650774098858,10
"11","Carmona","Sevilla","es ESP",-1.15516968243625,-2.8415011816811,-3.84711324428001,10
"12","Matty Cash","Aston Villa","pl POL",-0.0481023717893891,-2.42299829259987,-0.246347131599679,10
"13","Timothy Castagne","Leicester City","be BEL",0.00668207470227689,-2.45764457637123,0.137249422101972,10
"14","Álex Centelles","Almería","es ESP",-0.928405449739438,-1.23595582860305,-1.46106215656881,10
"15","Pathé Ciss","Rayo Vallecano","sn SEN",-1.24903244865572,-4.58263487837855,-1.41957467522861,10
"16","Carlos Clerc","Elche","es ESP",0.510733330040969,-2.09489830454056,-0.0111741398559788,10
"17","Nathaniel Clyne","Crystal Palace","eng ENG",0.391639989925292,-3.84536961459368,-1.67336930118797,10
"18","Séamus Coleman","Everton","ie IRL",0.754380296660243,-2.5139791614279,-2.1493176523983,10
"19","Nicolas Cozza","Montpellier","fr FRA",-0.067138670168106,-2.29597963181944,-2.67746058372161,10
"20","Juan Cruz Armada","Osasuna","es ESP",-0.641492657510811,-3.69811737762419,-1.39385978134158,10
"21","Mattia De Sciglio","Juventus","it ITA",-0.366939055799129,-3.7486633221883,-0.863686675697189,10
"22","Lorenzo De Silvestri","Bologna","it ITA",-1.56743693614068,-4.53340855144601,-1.02124655881381,10
"23","Ismael Diallo","Ajaccio","ci CIV",0.32055969161938,-3.89509802258017,-1.47302965581019,10
"24","Moussa Diarra","Toulouse","ml MLI",-0.927869433813755,-3.56985113555603,-0.568208749672179,10
"25","Djené","Getafe","tg TOG",0.416970931476827,-4.70950334266739,-2.71416669832222,10
"26","Matt Doherty","Tottenham","ie IRL",-0.412560438200492,-1.12441410768504,-1.83695432697871,10
"27","Ismaël Doukouré","Strasbourg","fr FRA",-0.125711683449765,-4.94083855267458,-0.774609289997586,10
"28","Tyronne Ebuehi","Empoli","ng NGA",0.284787017938471,-2.55406561903298,-1.51603029975507,10
"29","Aritz Elustondo","Real Sociedad","es ESP",-0.00895687576745616,-4.70932461961557,-1.30145203554803,10
"30","Noah Fadiga","Brest","sn SEN",0.868764154302316,-1.23287390174173,-1.75138945156341,10
"31","Edimilson Fernandes","Mainz 05","ch SUI",0.320976849423562,-4.68171314611635,-0.614782116545146,10
"32","Cristian Gamboa","Bochum","cr CRC",0.33593164131678,-3.19685095159928,-2.67849319633267,10
"33","Valentin Gendrey","Lecce","fr FRA",0.171395172496124,-1.48180262208426,-1.14011085366832,10
"34","Pape Gueye","Marseille","sn SEN",-2.15623054779985,-2.08956476901116,-0.595585895494231,10
"35","Robert Gumny","Augsburg","pl POL",0.265566699560555,-2.50735008317133,-3.57501766689662,10
"36","Hans Hateboer","Atalanta","nl NED",0.821953212663746,-1.61460669526727,-1.77647716067064,10
"37","Rico Henry","Brentford","eng ENG",0.274721031630526,-1.30061779373632,-2.02338071819318,10
"38","Aaron Hickey","Brentford","sct SCO",0.700463300834627,-2.7253770990153,-1.99587078445063,10
"39","Vitaly Janelt","Brentford","de GER",-0.136179737838739,-2.41184190770931,-1.31164411853081,10
"40","Ben Johnson","West Ham","eng ENG",-0.48787896624365,-4.07753656333311,-1.21344229782813,10
"41","Anthony Jung","Werder Bremen","de GER",0.865317465650183,-2.22105840152999,-0.0388397818596366,10
"42","James Justin","Leicester City","eng ENG",0.0942846800347983,-3.01976399840607,0.252085135494841,10
"43","Waren Kamanzi","Toulouse","no NOR",-0.389286273959503,-1.71018273136038,-2.40240845506352,10
"44","Rick Karsdorp","Roma","nl NED",0.145643057888788,-1.22877941218324,-1.7911777597956,10
"45","Jonjoe Kenny","Hertha BSC","eng ENG",0.0638390934391072,-2.95456922109654,-0.426026287080998,10
"46","Youssouf Koné","Ajaccio","ml MLI",1.50882853549344,-3.70652894442841,-4.00519898224108,10
"47","Lukas Kübler","Freiburg","de GER",0.396852229118857,-3.8581787165924,-2.63266035964714,10
"48","Ainsley Maitland-Niles","Southampton","eng ENG",-1.33815095710922,-2.61154647290691,-2.26581406565227,10
"49","Tyrell Malacia","Manchester Utd","nl NED",-0.756254489653217,-2.89739778117657,-1.38841041515639,10
