"","Player","Squad","Nation","Starts","PCA1","PCA2","cluster"
"1","Himad Abdelli","Angers","dz ALG",0.130113131625392,-2.56359216677923,2.70293301451052,8
"2","Salis Abdul Samed","Lens","gh GHA",0.257094527568897,-4.73334744685636,1.77477818749391,8
"3","Rubén Alcaraz","Cádiz","es ESP",-0.2107200050435,-2.94277247847377,0.341946982713432,8
"4","Kristjan Asllani","Inter","al ALB",-1.9233171043671,-4.79660723784635,2.98671678712977,8
"5","Youcef Atal","Nice","dz ALG",-0.578601731870969,-1.41832711683003,1.85495433366308,8
"6","Mickaël Barreto","Ajaccio","fr FRA",0.196520048634466,-1.98338746852919,1.80553205411231,8
"7","Fran Beltrán","Celta Vigo","es ESP",0.37195416625893,-4.3586102672898,2.18840784041294,8
"8","Juan Bernat","Paris S-G","es ESP",-0.0972717751664536,-0.898255270165713,1.57694313953535,8
"9","Yves Bissouma","Tottenham","ml MLI",-0.850391250654756,-4.92412735682836,0.161519813867798,8
"10","Hicham Boudaoui","Nice","dz ALG",0.500748798834934,-4.30377735350422,1.9940541399665,8
"11","Moisés Caicedo","Brighton","ec ECU",-0.164266849471552,-5.25610016448794,2.33604769959248,8
"12","Mohamed Camara","Monaco","ml MLI",0.251055573424719,-5.79633275713924,1.03935345016278,8
"13","Emre Can","Dortmund","de GER",-0.389286273959503,-5.78175230846972,1.14736121119745,8
"14","Pierrick Capelle","Angers","fr FRA",-0.405592857519103,-2.1396161290424,-0.524978710072327,8
"15","William Carvalho","Betis","pt POR",1.22486484318801,-3.41074588879717,3.52506299997075,8
"16","Casemiro","Manchester Utd","br BRA",0.180799257491407,-5.81471290983815,1.40502698765135,8
"17","Michele Castagnetti","Cremonese","it ITA",-0.840050133377596,-4.16400152084677,1.3843854427186,8
"18","Danilo Cataldi","Lazio","it ITA",1.82898631434304,-5.31504897543051,1.72113283060749,8
"19","Pedro Chirivella","Nantes","es ESP",0.938815806763584,-5.03964206350564,2.47599017016363,8
"20","Carlos Clerc","Elche","es ESP",0.510733330040969,-3.2404426221989,-0.426799953349953,8
"21","Santi Comesaña","Rayo Vallecano","es ESP",0.573434194179423,-1.9395861265327,0.0271303316908591,8
"22","Mathieu Coutadeur","Ajaccio","fr FRA",0.180799257491407,-4.35210606775542,0.66825986912319,8
"23","Nicolás Domínguez","Bologna","ar ARG",0.184421874580896,-2.96777995373603,1.80233457615404,8
"24","Éderson","Atalanta","br BRA",0.171395172496124,-2.28123949612643,-0.511737466942567,8
"25","Salvatore Esposito","Spezia","it ITA",-0.55715507855453,-3.22844371594943,1.77739762651558,8
"26","Fabinho","Liverpool","br BRA",0.406958523561053,-5.62690412369562,1.02846531488903,8
"27","Youssouf Fofana","Monaco","fr FRA",0.21184858413332,-2.79936838713449,2.30769172704152,8
"28","Fred","Manchester Utd","br BRA",-1.0666688051095,-2.45592805342971,0.976679747544367,8
"29","Dennis Geiger","Hoffenheim","de GER",2.04824723202864,-1.98294127337945,0.143596216304621,8
"30","Billy Gilmour","Brighton","sct SCO",2.02962010937476,-4.09012188099364,0.18132945070335,8
"31","Leon Goretzka","Bayern Munich","de GER",1.23676698201386,-1.43540433041547,0.122438235586631,8
"32","Ryan Gravenberch","Bayern Munich","nl NED",-4.31067989955272,-2.32820622838179,-0.651737610746158,8
"33","Andrés Guardado","Betis","mx MEX",0.441743780543339,-5.72770091198206,0.459807841962469,8
"34","Massadio Haïdara","Lens","ml MLI",-0.649410924686448,-3.45819445890927,-0.249728020112116,8
"35","Benjamin Henrichs","RB Leipzig","de GER",-0.3999287791346,-4.27209548618759,2.10248348432483,8
"36","Ivan Ilić","Torino","rs SRB",-0.00679505992937221,-1.94514335991609,2.40008956814274,8
"37","Joan Jordán","Sevilla","es ESP",0.649213659420414,-5.94487697232845,1.04970862425497,8
"38","Kevin Kampl","RB Leipzig","si SVN",0.448006873713071,-3.41355306440694,0.892014196219979,8
"39","Kouadio Koné","M'Gladbach","fr FRA",0.330954513386187,-2.37058810256152,0.123389674164988,8
"40","Rominigue Kouamé","Troyes","ml MLI",0.439120036420469,-2.93700226176785,0.660210450119285,8
"41","Konrad Laimer","RB Leipzig","at AUT",0.38796458764295,-1.63026535914271,-0.0152176232600459,8
"42","Pierre Lees-Melou","Brest","fr FRA",0.376527936522258,-5.30292589488721,0.957072920054841,8
