"","Player","Squad","Nation","Starts","PCA1","PCA2","cluster"
"1","Zakaria Aboukhlal","Toulouse","ma MAR",0.197645232634596,8.21558533665319,-0.0740797810836901,5
"2","Karim Adeyemi","Dortmund","de GER",2.4892375067232,9.0448174482511,1.37465712684103,5
"3","Amine Adli","Leverkusen","fr FRA",0.0704798381111987,7.2385676502477,-0.439210349395116,5
"4","Julián Álvarez","Manchester City","ar ARG",-1.60788338529406,7.40572101016748,-0.987299360580596,5
"5","Christopher Antwi-Adjei","Bochum","gh GHA",0.0377964021668667,6.95297818735652,1.16603966027468,5
"6","Ezequiel Ávila","Osasuna","ar ARG",1.77260985044083,6.1802977215852,-1.15899168510142,5
"7","Alex Baena","Villarreal","es ESP",-0.955385193302365,4.47993866046225,2.16115171780272,5
"8","Leon Bailey","Aston Villa","jm JAM",1.59559053768674,8.76957343069084,0.295863893741033,5
"9","Nedim Bajrami","Sassuolo","al ALB",-1.84879518879832,5.16409722176151,0.961584557899149,5
"10","Bradley Barcola","Lyon","fr FRA",-0.470139750775858,7.20379492476696,-0.17187101999804,5
"11","Kike Barja","Osasuna","es ESP",0.27923393679036,7.63329050869923,3.05616657921866,5
"12","Harvey Barnes","Leicester City","eng ENG",0.552682081543175,7.46930772365167,-0.919602918738633,5
"13","Musa Barrow","Bologna","gm GAM",1.63040057549394,5.82166546428586,3.83435204731245,5
"14","Christoph Baumgartner","Hoffenheim","at AUT",1.32819654015901,5.64454363045849,-0.436815157444172,5
"15","Youcef Belaïli","Ajaccio","dz ALG",1.46682832425943,8.27903709316346,3.56910972108936,5
"16","Saïd Benrahma","West Ham","dz ALG",-0.310503959188226,7.65855851164178,2.73815887150961,5
"17","Badredine Bouanani","Nice","dz ALG",-0.461239310106619,8.08544358411996,4.63778332576908,5
"18","Jarrod Bowen","West Ham","eng ENG",0.0596718503235798,6.86150330602347,0.999537057956431,5
"19","Bilal Brahimi","Nice","dz ALG",-3.54257186979735,6.95054946874104,2.92662474337914,5
"20","Marius Bülter","Schalke 04","de GER",0.363603376210344,7.37541529964713,-0.0365511407957253,5
"21","Cristian Buonaiuto","Cremonese","it ITA",-2.88419355857846,5.23981210031037,2.83265252075315,5
"22","Jamie Bynoe-Gittens","Dortmund","eng ENG",-2.61738358630214,13.2734638228811,-1.65244589996082,5
"23","Nicolò Cambiaghi","Empoli","it ITA",-1.26514650530866,7.14660843279294,-0.39954583154018,5
"24","Gianluca Caprari","Monza","it ITA",1.51542422618293,4.90421099380445,2.66883282786706,5
"25","Samu Castillejo","Valencia","es ESP",1.05254136547929,4.4463252189925,2.85558181169748,5
"26","Yoann Cathline","Lorient","fr FRA",-0.709733081158267,5.19880309572629,-0.966999201170936,5
