Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
581,Nelson Quiñones,co COL,FW,Dynamo FC,19,2002,1.4,3,2.21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
582,Joshué Quiñónez,ec ECU,DF,FC Dallas,21,2000,1.1,3,2.7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
583,Darwin Quintero,co COL,"MF,FW",Dynamo FC,34,1987,19.6,109,5.55,76,18,6,4,4,1,13,0.66,9,0,1,1,1,1,Matches
584,Jairo Quinteros,bo BOL,DF,Inter Miami,20,2001,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
585,Romell Quioto,hn HON,FW,CF Montréal,30,1991,22.7,74,3.26,39,7,15,8,5,0,12,0.53,6,0,5,0,1,0,Matches
586,Jackson Ragen,us USA,DF,Seattle,23,1998,15.5,8,0.52,7,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
587,Brooklyn Raines,us USA,MF,Dynamo FC,16,2005,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
588,Ryan Raposo,ca CAN,DF,Vancouver,22,1999,16,43,2.69,32,6,1,2,2,0,4,0.25,4,0,0,0,0,0,Matches
589,Justin Rasmussen,us USA,DF,Portland Timbers,23,1998,7.2,10,1.39,7,0,2,1,0,0,0,0,0,0,0,0,0,0,Matches
590,Rayan Raveloson,mg MAD,MF,LA Galaxy,25,1997,19.8,42,2.12,34,0,2,2,3,1,6,0.3,5,0,0,0,1,0,Matches
591,Matthew Real,us USA,"MF,DF",Philadelphia,22,1999,1.9,4,2.08,2,1,0,1,0,0,0,0,0,0,0,0,0,0,Matches
592,Rodney Redes,py PAR,"FW,MF",Austin,21,2000,1.9,3,1.57,1,0,0,0,2,0,0,0,0,0,0,0,0,0,Matches
593,Benjamin Redzic,us USA,"MF,FW",FC Dallas,19,2002,0.7,4,5.37,3,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
594,Pierre Reedy,us USA,MF,Real Salt Lake,24,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
595,Eric Remedi,ar ARG,MF,San Jose,26,1995,16,37,2.31,27,3,2,3,2,0,1,0.06,1,0,0,0,0,0,Matches
596,Justin Rennicks,us USA,FW,New England,22,1999,8.7,10,1.15,6,0,0,1,3,0,1,0.12,0,0,0,0,1,0,Matches
597,Ben Reveno,us USA,FW,New England,22,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
598,Andrés Reyes,co COL,DF,NY Red Bulls,22,1999,7.7,1,0.13,0,0,0,0,1,0,1,0.13,0,0,0,0,1,0,Matches
599,Yordy Reyna,pe PER,"MF,FW",Charlotte,28,1993,9.4,36,3.83,28,4,1,2,0,1,7,0.74,6,0,0,1,0,0,Matches
600,Andre Reynolds II,us USA,"FW,DF",Chicago Fire,20,2001,4.5,4,0.89,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
601,Emanuel Reynoso,ar ARG,"MF,FW",Minnesota Utd,26,1995,28,190,6.8,98,44,15,12,19,2,23,0.82,13,3,2,2,2,1,Matches
602,Spencer Richey,us USA,GK,Chicago Fire,29,1992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
